0,-1.0,12000,27000
0,0,-1.0,5500
20300,1,0.0153,-1.0
-1.0,18400,1,0.0366
-1.0,-1.0,24800,1
0.0357,-1.0,4500,23100
1,0.0131,-1.0,9000
18900,0,0,-1.0
-1.0,25200,0,0.0015
-1.0,3500,16000,0
0,-1.0,-1.0,20500
1,0.0762,-1.0,-1.0
-1.0,0,0,-1.0
7630,24600,1,0.0154
-1.0,12500,25300,1
0.1295,-1.0,5036,23700
1,0.0149,-1.0,-1.0
21700,1,0.0067,-1.0
12667,20600,0,0
0.0,14250,28800,1
0.0234,-1.0,9500,20200
0,0,-1.0,9500
19200,0,0,-1.0
9500,17800,0,0
-1.0,5650,28100,0
0,-1.0,-1.0,31500
0,0,-1.0,4779
19400,0,0,-1.0
9500,13300,0,0
-1.0,8800,25700,0
0,-1.0,7125,22600
0,0,-1.0,6200
23300,0,0,-1.0
7984,-1.0,0,0
